"time","Reg1.wconn.F_exc"
39.4,1.3764885499223599e6
39.5,1.379190645247004e6
39.6,1.3696041172287518e6
39.7,1.347762365129787e6
39.8,1.313809294837842e6
39.9,1.2679984773310914e6
40,1.2106913067557442e6
40.1,1.1423541709087382e6
40.2,1.0635546560275934e6
40.3,974956.8167326807
40.4,877315.5506600671
40.5,771470.1256851098
40.6,658336.9155882464
40.7,538901.4074816924
40.8,414209.55122642755
40.9,285358.52735839394
41,153487.0156500036
41.1,19765.051304115517
41.2,-114616.44013503712
41.3,-248456.33480642145
41.4,-380554.1327393353
41.5,-509720.8119661093
41.6,-634789.6156398598
41.7,-754626.6735399474
41.8,-868141.3605404452
41.9,-974296.2967088227
42,-1.0721168966779897e6
42.1,-1.1607003797699397e6
42.2,-1.2392241570097408e6
42.3,-1.3069535166155512e6
42.4,-1.363248535734188e6
42.5,-1.4075701530586723e6
42.6,-1.4394853444523083e6
42.7,-1.4586713517458213e6
42.8,-1.46491892339728e6
42.9,-1.458134534631724e6
43,-1.4383415639271468e6
43.1,-1.4056804122013692e6
43.2,-1.3604075606933543e6
43.3,-1.3028935732342137e6
43.4,-1.2336200582780899e6
43.5,-1.1531756156219384e6
43.6,-1.0622508020974873e6
43.7,-961632.1595815194
43.8,-852195.3573579073
43.9,-734897.5090949218
44,-610768.732398363
44.1,-480903.0259911668
44.2,-346448.5459884287
44.3,-208597.36842053942
44.4,-68574.83005409471
44.5,72371.45637764534
44.6,212982.81323460216
44.7,352000.83373644634
44.8,488178.73949659994
44.9,620292.6564713801
45,747152.7065065872
45.1,867613.8131437618
45.2,980586.12276125
45.3,1.0850449454506517e6
45.4,1.1800401242388268e6
45.5,1.2647047463211077e6
45.6,1.3382631158292997e6
45.7,1.400037914263739e6
45.8,1.4494564820146088e6
45.9,1.4860561623163433e6
46,1.5094886574491758e6
46.1,1.5195233559461161e6
46.2,1.51604959890039e6
46.3,1.4990778631122783e6
46.4,1.4687398486768412e6
46.5,1.4252874686047884e6
46.6,1.3690907480957697e6
46.7,1.3006346510546347e6
46.8,1.220514861264295e6
46.9,1.129432555213656e6
47,1.0281882128367028e6
47.1,917674.5212636474
47.2,798868.4350351598
47.3,672822.4640088377
47.4,540655.2673203904
47.5,403541.6381852262
47.6,262701.9699775081
47.7,119391.29885298421
47.8,-25111.97785879446
47.9,-169517.60521321808
48,-312535.0917620968
48.1,-452885.3426561676
48.2,-589312.198980181
48.3,-720593.7783347679
48.4,-845553.5134153917
48.5,-963070.7880215896
48.6,-1.072091073537438e6
48.7,-1.1716354734220486e6
48.8,-1.26080958859746e6
48.9,-1.3388116227715586e6
49,-1.404939653628628e6
49.1,-1.4585980033982226e6
49.2,-1.4993026505032072e6
49.3,-1.5266856327164422e6
49.4,-1.5404984014413692e6
49.5,-1.5406140962911458e6
49.6,-1.5270287189857825e6
49.7,-1.4998611956264996e6
49.8,-1.4593523265489677e6
49.9,-1.405862633108893e6
50,-1.3398691208213354e6
50.000000010000456,-1.3398691136151936e6
50.000000010000456,-1.3398691136151936e6
50.1,-1.26197344330374e6
50.2,-1.1728806228566552e6
50.3,-1.0733811555478268e6
50.4,-964357.872757556
50.5,-846778.1080589314
50.6,-721685.1143333393
50.7,-590188.8072748319
50.8,-453455.91741381213
50.9,-312699.638038169
51,-169168.86086332117
51.1,-24137.094959771257
51.2,121108.83274219173
51.3,265280.195113602
51.4,407097.79934786673
51.5,545303.3368862895
51.6,678670.5480435732
51.7,806016.1022723325
51.8,926210.0975292939
51.9,1.0381860855850687e6
52,1.1409505343256684e6
52.1,1.2335916430894104e6
52.2,1.3152874328231867e6
52.3,1.3853130392762844e6
52.4,1.4430471445213624e6
52.5,1.487977489737302e6
52.6,1.51970542034074e6
52.7,1.5379494231384248e6
52.8,1.5425476241162766e6
52.9,1.5334592247029454e6
53,1.5107648637643047e6
53.1,1.474665902116999e6
53.2,1.4254826359093424e6
53.3,1.363651454721795e6
53.4,1.2897209696023304e6
53.5,1.2043471453916787e6
53.6,1.108287480527847e6
53.7,1.0023942859710656e6
53.8,887607.1228832718
53.9,764944.46616057
54,635494.6677858894
54.1,500406.30018149246
54.2,360877.96524205874
54.3,218147.6594700779
54.4,73481.78957368399
54.5,-71836.06401139314
54.6,-216516.53597762875
54.7,-359275.91632913577
54.8,-498847.5403870099
54.9,-633993.0275563841
55,-763513.2691363832
55.1,-886259.0676815858
55.2,-1.0011413335145438e6
55.3,-1.1071407479186787e6
55.4,-1.2033168072726077e6
55.5,-1.2888161678798313e6
55.6,-1.3628802174524397e6
55.7,-1.4248518060691028e6
55.8,-1.4741810768853663e6
55.9,-1.5104303448620886e6
56,-1.5332779802242648e6
56.1,-1.5425212621934945e6
56.2,-1.538078177673624e6
56.3,-1.5199881489303769e6
56.4,-1.4884116838084406e6
56.5,-1.443628951589546e6
56.6,-1.3860372971275735e6
56.7,-1.31614771531705e6
56.8,-1.2345803171761471e6
56.9,-1.1420588277722858e6
57,-1.0394041648089389e6
57.1,-927527.154848803
57.2,-807420.4518004907
57.3,-680149.729373657
57.4,-546844.2256495806
57.5,-408686.7236625786
57.6,-266903.0568917565
57.7,-122751.2327779989
57.8,22489.72922963946
57.9,167531.14606146433
58,311086.10515715677
58.1,451880.88288665557
58.2,588666.24594929
58.3,720228.5354768583
58.4,845400.4354947144
58.5,963071.330194961
58.6,1.072197158124824e6
58.7,1.1718096758564203e6
58.8,1.261025048944157e6
58.9,1.3390516939444498e6
59,1.4051973019176722e6
59.1,1.4588749810947666e6
59.2,1.4996084642063563e6
59.3,1.527036334271093e6
59.4,1.5409152313490456e6
59.5,1.5411220118074254e6
59.6,1.5276548409401535e6
59.7,1.500633209246701e6
59.8,1.4602968722257796e6
59.9,1.4070037230908044e6
60,1.3412266172819578e6
60.1,1.2635491769500426e6
60.2,1.1746606126377962e6
60.3,1.0753496081045326e6
60.4,966497.3225522236
60.5,849069.5723425521
60.6,724108.2615741675
60.7,592722.1375545239
60.8,456076.9531902456
60.9,315385.1235824947
61,171894.96860164322
61.1,26879.6368886504
61.2,-118374.19044224346
61.3,-262577.71617083973
61.4,-404451.4621139216
61.5,-542736.6215828984
61.6,-676206.228428972
61.7,-803676.0435760117
61.8,-924015.0624478174
61.9,-1.0361555500604183e6
62,-1.1391025147405206e6
62.1,-1.2319425364127678e6
62.2,-1.3138518711245705e6
62.3,-1.3841037598994346e6
62.4,-1.4420748770692584e6
62.5,-1.4872508608713713e6
62.6,-1.5192308772388618e6
62.7,-1.537731176290899e6
62.8,-1.5425876099672941e6
62.9,-1.5337570884690587e6
63,-1.5113179625823237e6
63.1,-1.4754693284933807e6
63.2,-1.4265292612630418e6
63.3,-1.364931992634194e6
63.4,-1.2912240582130824e6
63.5,-1.2060594482093432e6
63.6,-1.1101938047609413e6
63.7,-1.004477717329498e6
63.8,-889849.1756541868
63.9,-767325.2472269895
64,-637993.0531328614
64.1,-503000.12232367264
64.2,-363544.20990967256
64.3,-220862.66980823167
64.4,-76221.47604309251
64.5,69096.00989447933
64.6,213800.42595902682
64.7,356607.8497052816
64.8,496251.1901785238
64.9,631491.4304638662
65,761128.6211421028
65.1,884012.5271106726
65.2,999052.8333030258
65.3,1.1052288187539317e6
65.4,1.201598413175745e6
65.5,1.2873065556885651e6
65.6,1.361592781540147e6
65.7,1.4237979695001945e6
65.8,1.473370190061582e6
65.9,1.5098696025589714e6
66,1.5329723577538927e6
66.1,1.542473471259906e6
66.2,1.5382886423126156e6
66.3,1.520455001747152e6
66.4,1.4891307825464783e6
66.5,1.4445939158837255e6
66.6,1.3872395651153782e6
66.7,1.3175766196056157e6
66.8,1.236223179491105e6
66.9,1.1439010714486095e6
67,1.0414294441256889e6
67.1,929717.5000601817
67.2,809756.4285764422
67.3,682610.6112353733
67.4,549408.1778697957
67.5,411330.9969991425
67.6,269604.1894353478
67.7,125485.25812318304
67.8,-19747.069337036988
67.9,-164804.18648760178
68,-308399.04146355425
68.1,-449257.5566497037
68.2,-586129.9332204534
68.3,-717801.7402607199
68.4,-843104.6900771172
68.5,-960927.004092946
68.6,-1.0702232773535333e6
68.7,-1.1700237541165259e6
68.8,-1.259442932227568e6
68.9,-1.3376874199372327e6
69,-1.4040629754474687e6
69.1,-1.4579806667280695e6
69.2,-1.4989620969483356e6
69.3,-1.526643649160476e6
69.4,-1.540779712572707e6
69.5,-1.5412448617861574e6
69.6,-1.5280349696599178e6
69.7,-1.5012672439300152e6
69.8,-1.4611791872574638e6
69.9,-1.408126489932483e6
70,-1.3425798739325611e6
70.1,-1.2651209163358696e6
70.2,-1.1764368891479839e6
70.3,-1.0773146613266373e6
70.4,-968633.7171099941
70.5,-851358.352595255
70.6,-726529.1198047524
70.7,-595253.5941543962
70.8,-458696.54724191804
70.9,-318069.6121491352
71,-174620.53295527454
71.1,-29622.09384714656
71.2,115639.173944473
71.3,259874.40718219356
71.4,401803.8463508312
71.5,540168.1906110641
71.6,673739.771229316
71.7,801333.444344248
71.8,921817.1064219889
71.9,1.0341217390992236e6
72,1.1372508942886754e6
72.1,1.230289535388774e6
72.2,1.3124121561514467e6
72.3,1.382890105171748e6
72.4,1.4410980510112925e6
72.5,1.4865195305918017e6
72.6,1.5187515316299207e6
72.7,1.5375080684542072e6
72.8,1.5426227194772612e6
72.9,1.5340501038086675e6
73,1.511866283907136e6
73.1,1.476268090699242e6
73.2,1.4275713771528082e6
73.3,1.3662082158004772e6
73.4,1.2927230650790713e6
73.5,1.2077679384998234e6
73.6,1.1120966195119305e6
73.7,1.006557973389558e6
73.8,892088.4154840175
73.9,769703.6026680645
74,640489.4216921452
74.1,505592.3544102027
74.2,366209.30536179955
74.3,223576.98196774503
74.4,78960.92156547576
74.5,-66355.73735515146
74.6,-211083.64008657367
74.7,-353938.65579280374
74.8,-493653.2712487214
74.9,-628987.8371361938
75,-758741.5671108942
75.1,-881763.192049178
75.2,-996961.1749419733
75.3,-1.103313395802106e6
75.4,-1.199876220653664e6
75.5,-1.2857928741363483e6
75.6,-1.3603010414374587e6
75.7,-1.4227396321013505e6
75.8,-1.4725546457029525e6
75.9,-1.5093040873411254e6
76,-1.532661889337663e6
76.1,-1.5424208043460757e6
76.2,-1.5384942442002113e6
76.3,-1.5209170481872272e6
76.4,-1.4898451739281823e6
76.5,-1.445554313609003e6
76.6,-1.3884374478396198e6
76.7,-1.3190013588451915e6
76.8,-1.237862133926991e6
76.9,-1.1457396990893148e6
77,-1.0434514313343492e6
77.1,-931904.9063009663
77.2,-812089.8455959801
77.3,-685069.3352668901
77.4,-551970.3933318503
77.5,-413973.9700593418
77.6,-272304.4697213525
77.7,-128218.8867914385
77.8,17004.347021111287
77.9,162076.70594401826
78,305711.00287627545
78.1,446632.8102450519
78.2,583591.7676507019
78.3,715372.6759701676
78.4,840806.2794844705
78.5,958779.6403626194
78.6,1.0682460134527173e6
78.7,1.1682341337634535e6
78.8,1.2578568342309329e6
78.9,1.3363189173078802e6
79,1.40292421053249e6
79.1,1.4570817434750323e6
79.2,1.4983109912557811e6
79.3,1.5262461381099592e6
79.4,1.540639323170341e6
79.5,1.5413628396684583e6
79.6,1.528410268041617e6
79.7,1.5018965328919e6
79.8,1.462056883291814e6
79.9,1.409244805484029e6
80,1.3439288864952961e6
80.1,1.2666886564927208e6
80.2,1.1782094467721523e6
80.3,1.0792763090023254e6
80.4,970767.0496774352
80.5,853644.4415819043
80.6,728947.6813724322
80.7,597783.1690721302
80.8,461314.6912878958
80.9,320753.095252036
81,177345.54530831418
81.1,32364.457165937478
81.2,-112903.79189466052
81.3,-257170.27669321155
81.4,-399154.96042801504
81.5,-537598.0520899865
81.6,-671271.1842414704
81.7,-798988.3119823528
81.8,-919616.2363998546
81.9,-1.0320846591306366e6
82,-1.1353956788233703e6
82.1,-1.2286326452428163e6
82.2,-1.310968292454933e6
82.3,-1.3816720789297712e6
82.4,-1.4401166694353523e6
82.5,-1.4857835012104383e6
82.6,-1.518267385029199e6
82.7,-1.5372801003336255e6
82.8,-1.5426529525351913e6
82.9,-1.5343382697955102e6
83,-1.512409826005429e6
83.1,-1.4770621862095871e6
83.2,-1.4286089802843556e6
83.3,-1.367480120186309e6
83.4,-1.294217985461739e6
83.5,-1.2094726108623366e6
83.6,-1.1139959187657288e6
83.7,-1.0086350475752571e6
83.8,-894324.8352942057
83.9,-772079.5249654723
84,-642983.7655723415
84.1,-508182.98824665433
84.2,-368873.2431737014
84.3,-226290.58736829826
84.4,-81700.11748104214
84.5,63615.25505580504
84.6,208366.18694840898
84.7,351268.3430293545
84.8,491053.7918100186
84.9,626482.2554876145
85,756352.1145885969
85.1,879511.0696075546
85.2,994866.3650434184
85.3,1.1013944851181288e6
85.4,1.1981502351504702e6
85.5,1.284275128008115e6
85.6,1.359005001227757e6
85.7,1.4216767972181367e6
85.8,1.4717344463875368e6
85.9,1.5087338009962258e6
86,1.5323465759570126e6
86.1,1.542363261618492e6
86.2,1.538694982686474e6
86.3,1.521374286790013e6
86.4,1.4905548556952507e6
86.5,1.446510141729417e6
86.6,1.3896309415136147e6
86.7,1.3204219285319783e6
86.8,1.2394971753028343e6
86.9,1.1475747048822294e6
87,1.0454701200431283e6
87.1,934089.36665646
87.2,814420.6954828756
87.3,687525.8936958079
87.4,554530.8639361827
87.5,416615.6344883376
87.6,275003.8892138081
