"time","wconn.F_exc"
43.8,-852195.3573579073
43.85,-794466.288892184
43.9,-734897.5090949218
43.95,-673619.9978714194
44,-610768.732398363
44.05,-546482.38728347
44.1,-480903.0259911668
44.15,-414175.78422643285
44.2,-346448.5459884287
44.25,-277871.61302324757
44.3,-208597.36842053942
44.35,-138779.93511353142
44.4,-68574.83005409471
44.45,1861.3851548355242
44.5,72371.45637764534
44.55,142797.79101721713
44.6,212982.81323460216
44.65,282769.319510037
44.7,352000.83373644634
44.75,420521.96103645436
44.8,488178.73949659994
44.85,554818.9890158048
44.9,620292.6564713801
44.95,684452.1564132574
45,747152.7065065872
45.05,808252.6569542811
45.1,867613.8131437618
45.15,925101.7507772344
45.2,980586.12276125
45.25,1.0339409571491942e6
45.3,1.0850449454506517e6
45.35,1.1337817206423383e6
45.4,1.1800401242388268e6
45.45,1.223714461805393e6
45.5,1.2647047463211077e6
45.55,1.3029169288278741e6
45.6,1.3382631158292997e6
45.65,1.3706617729333506e6
45.7,1.400037914263739e6
45.75,1.4263232771968504e6
45.8,1.4494564820146088e6
45.85,1.4693831760973851e6
45.9,1.4860561623163433e6
45.95,1.4994355113203602e6
46,1.5094886574491758e6
46.05,1.5161904780417017e6
46.1,1.5195233559461161e6
46.15,1.5194772250766233e6
46.2,1.51604959890039e6
46.25,1.5092455817770485e6
46.3,1.4990778631122783e6
46.35,1.485566694326235e6
46.4,1.4687398486768412e6
46.45,1.4486325640171096e6
46.5,1.4252874686047884e6
46.55,1.398754490121342e6
46.6,1.3690907480957697e6
46.65,1.3363604299668246e6
46.7,1.3006346510546347e6
46.75,1.261991298749833e6
46.8,1.220514861264295e6
46.85,1.1762962413233328e6
46.9,1.129432555213656e6
46.95,1.0800269176350369e6
47,1.0281882128367028e6
47.05,974030.8525504607
47.1,917674.5212636474
47.15,859243.9094038327
47.2,798868.4350351598
47.25,736681.9546930683
47.3,672822.4640088377
47.35,607431.7887994616
47.4,540655.2673203904
47.45,472641.4243988757
47.5,403541.6381852262
47.55,333509.80027577974
47.6,262701.9699775081
47.65,191276.02349755622
47.7,119391.29885298421
47.75,47208.23730641238
47.8,-25111.97785879446
47.85,-97407.78440351879
47.9,-169517.60521321808
47.95,-241280.21256630815
48,-312535.0917620968
48.05,-383122.8032814978
48.1,-452885.3426561676
48.15,-521666.49722708925
48.2,-589312.198980181
48.25,-655670.872655181
48.3,-720593.7783347679
48.35,-783935.3477328523
48.4,-845553.5134153917
48.45,-905310.03020296
48.5,-963070.7880215896
48.55,-1.0187061154882021e6
48.6,-1.072091073537438e6
48.65,-1.123105738419386e6
48.7,-1.1716354734220486e6
48.75,-1.2175711886973965e6
48.8,-1.26080958859746e6
48.85,-1.3012534059547877e6
48.9,-1.3388116227715586e6
48.95,-1.3733996768124944e6
49,-1.404939653628628e6
49.05,-1.433360463572354e6
49.1,-1.4585980033982226e6
49.15,-1.4805953020790834e6
49.2,-1.4993026505032072e6
49.25,-1.5146777147546122e6
49.3,-1.5266856327164422e6
49.35,-1.5352990937750798e6
49.4,-1.5404984014413692e6
49.45,-1.5422715187442135e6
49.5,-1.5406140962911458e6
49.55,-1.535529482930037e6
49.6,-1.5270287189857825e6
49.65,-1.5151305120856303e6
49.7,-1.4998611956264996e6
49.75,-1.4812546699773492e6
49.8,-1.4593523265489677e6
49.85,-1.4342029549027684e6
49.9,-1.405862633108893e6
49.95,-1.3743946016020374e6
50,-1.3398691208213354e6
50.00000001000008,-1.339869113615987e6
50.00000001000008,-1.3398691136154654e6
50.05,-1.3023665264153492e6
50.1,-1.26197344330374e6
50.15,-1.2187795204049693e6
50.2,-1.1728806228566552e6
50.25,-1.1243786192512957e6
50.3,-1.0733811555478268e6
50.35,-1.0200014161608116e6
50.4,-964357.872757556
